,Order_ID,Order_Date,Customer_Name,Country,State,City,Region,Segment,Ship Mode,Category,Sub_Category,Product Name,Discount,Sales,Profit,Quantity,Feedback
0,BN-2011-7407039,1/1/2011,Ruby Patel,Sweden,Stockholm,Stockholm,North,Home Office,Economy Plus,Office Supplies,Paper,"Enermax Note Cards, Premium",0.5,45,26.0,3,False
1,AZ-2011-9050313,1/3/2011,Summer Hayward,United Kingdom,England,Southport,North,Consumer,Economy,Furniture,Bookcases,"Dania Corner Shelving, Traditional",,854,290.0,7,True
2,AZ-2011-6674300,1/4/2011,Devin Huddleston,France,Auvergne-Rhône-Alpes,Valence,Central,Consumer,Economy,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase",,140,21.0,3,True
3,BN-2011-2819714,1/4/2011,Mary Parker,United Kingdom,England,Birmingham,North,Corporate,Economy,Office Supplies,Art,"Boston Markers, Easy-Erase",0.5,27,22.0,2,True
4,BN-2011-2819714,1/4/2011,Mary Parker,United Kingdom,England,Birmingham,North,Corporate,Economy,Office Supplies,Storage,"Eldon Folders, Single Width",0.5,17,1.0,2,True
5,AZ-2011-617423,1/5/2011,Daniel Burke,France,Auvergne-Rhône-Alpes,Echirolles,Central,Home Office,Priority,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",,90,21.0,3,False
6,AZ-2011-617423,1/5/2011,Daniel Burke,France,Auvergne-Rhône-Alpes,Echirolles,Central,Home Office,Priority,Office Supplies,Art,"Sanford Canvas, Fluorescent",,207,77.0,4,False
7,AZ-2011-2918397,1/7/2011,Fredrick Beveridge,France,Provence-Alpes-Côte d'Azur,La Seyne-sur-Mer,Central,Corporate,Priority,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",0.1,155,36.0,1,True
8,AZ-2011-2918397,1/7/2011,Fredrick Beveridge,France,Provence-Alpes-Côte d'Azur,La Seyne-sur-Mer,Central,Corporate,Priority,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",,33,2.0,3,True
9,AZ-2011-2918397,1/7/2011,Fredrick Beveridge,France,Provence-Alpes-Côte d'Azur,La Seyne-sur-Mer,Central,Corporate,Priority,Office Supplies,Storage,"Smead Lockers, Industrial",0.1,716,143.0,4,True
10,BN-2011-3248724,1/8/2011,Archer Hort,France,Languedoc-Roussillon-Midi-Pyrénées,Toulouse,Central,Consumer,Economy,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",0.6,987,1012.0,6,True
11,BN-2011-3248724,1/8/2011,Archer Hort,France,Languedoc-Roussillon-Midi-Pyrénées,Toulouse,Central,Consumer,Economy,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",0.5,116,56.0,5,False
12,AZ-2011-6712797,1/11/2011,Evie Flockhart,Italy,Liguria,Genoa,South,Consumer,Economy,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",,22,7.0,3,True
13,AZ-2011-4827146,1/11/2011,Faith Greenwood,Austria,Vienna,Vienna,Central,Consumer,Economy,Office Supplies,Art,"Boston Canvas, Fluorescent",,55,10.0,1,True
14,AZ-2011-4827146,1/11/2011,Faith Greenwood,Austria,Vienna,Vienna,Central,Consumer,Economy,Office Supplies,Storage,"Smead Trays, Single Width",,97,31.0,2,False
15,AZ-2011-6439906,1/11/2011,Summer Hayward,Spain,Murcia,Murcia,South,Consumer,Economy,Furniture,Tables,"Bevis Training Table, with Bottom Storage",0.6,268,342.0,2,True
16,AZ-2011-6439906,1/11/2011,Summer Hayward,Spain,Murcia,Murcia,South,Consumer,Economy,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical",,40,6.0,5,True
17,AZ-2011-7053593,1/11/2011,Gracie Powell,United Kingdom,England,Woking,North,Consumer,Immediate,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",,1384,14.0,3,True
18,AZ-2011-7053593,1/11/2011,Gracie Powell,United Kingdom,England,Woking,North,Consumer,Immediate,Office Supplies,Art,"Binney & Smith Canvas, Blue",,103,20.0,2,False
19,AZ-2011-5702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",0.1,552,165.0,5,True
20,AZ-2011-5702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Office Supplies,Art,"Binney & Smith Canvas, Blue",,257,49.0,5,False
21,AZ-2011-5702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Office Supplies,Binders,"Ibico Index Tab, Clear",,17,6.0,2,False
22,AZ-2011-5702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Technology,Machines,"Epson Printer, White",,522,21.0,2,True
23,AZ-2011-9927716,1/12/2011,Julia Martell,United Kingdom,England,Leicester,North,Home Office,Economy,Furniture,Chairs,"Hon Chairmat, Adjustable",,290,70.0,5,False
24,AZ-2011-2222024,1/12/2011,Viola Watson,United Kingdom,England,Sheffield,North,Consumer,Priority,Office Supplies,Paper,"Green Bar Note Cards, Multicolor",0.5,34,6.0,2,True
25,BN-2011-4913858,1/13/2011,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable",0.5,9,3.0,3,True
26,BN-2011-4913858,1/13/2011,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,22,12.0,4,True
27,BN-2011-4913858,1/13/2011,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Paper,"Green Bar Cards & Envelopes, Multicolor",0.5,50,38.0,2,False
28,BN-2011-4913858,1/13/2011,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Storage,"Smead Lockers, Blue",0.5,198,131.0,2,False
29,BN-2011-2807470,1/13/2011,Rose Heap,Sweden,Västra Götaland,Gothenburg,North,Consumer,Economy,Office Supplies,Art,"Sanford Pens, Fluorescent",0.5,31,14.0,5,True
